               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,  train/topleft_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,    val/topleft_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.039219,             0.02066,           0.0075544,            0.097882,            0.025355,             0.90808,             0.90717,             0.94404,             0.56782,            0.028633,            0.017022,           0.0045302,            0.095643,            0.021626,           0.0096085,           0.0096085,           0.0096085
                  73,            0.039533,             0.02054,           0.0076592,            0.097621,            0.024973,             0.90412,             0.89109,             0.93306,             0.55984,            0.028338,            0.016954,           0.0047921,            0.094687,            0.021397,           0.0095976,           0.0095976,           0.0095976
                  74,             0.03907,            0.020381,           0.0073971,            0.097634,            0.025165,             0.93329,             0.89114,             0.93967,              0.5609,            0.028529,            0.017131,           0.0040245,            0.095383,            0.021032,           0.0095866,           0.0095866,           0.0095866
                  75,            0.038996,            0.020793,           0.0072305,            0.097756,             0.02538,             0.95012,             0.89869,             0.94523,             0.56349,            0.027879,             0.01674,           0.0043593,            0.096079,            0.021488,           0.0095754,           0.0095754,           0.0095754
                  76,            0.038791,             0.02043,           0.0069207,            0.097018,              0.0249,             0.93186,             0.89836,             0.94239,             0.57004,            0.028226,            0.016871,           0.0044772,            0.095297,            0.020987,            0.009564,            0.009564,            0.009564
                  77,            0.039134,            0.020687,           0.0072317,            0.096585,            0.024954,             0.94024,             0.88396,             0.93932,             0.55731,            0.028396,            0.017009,           0.0042517,            0.094068,            0.021657,           0.0095525,           0.0095525,           0.0095525
                  78,             0.03871,             0.02045,           0.0071855,            0.096629,            0.024883,             0.90748,             0.90199,             0.93509,             0.56698,            0.027851,            0.016913,           0.0045979,            0.094235,            0.021312,           0.0095409,           0.0095409,           0.0095409
                  79,            0.039059,            0.020213,            0.006549,            0.094678,            0.024746,             0.90963,             0.92848,             0.95112,             0.57631,             0.02783,            0.016732,           0.0042727,            0.093627,            0.022017,           0.0095292,           0.0095292,           0.0095292
                  80,            0.038526,            0.020304,           0.0067766,             0.09625,            0.025038,             0.92712,             0.91086,              0.9472,             0.57908,            0.027708,             0.01678,           0.0037397,            0.093041,            0.020555,           0.0095173,           0.0095173,           0.0095173
                  81,            0.038125,            0.020572,           0.0068348,             0.09566,            0.025045,             0.93499,             0.90695,             0.95151,             0.56412,            0.027683,             0.01668,           0.0046742,            0.091995,            0.021782,           0.0095052,           0.0095052,           0.0095052
                  82,            0.038541,            0.020577,           0.0071719,            0.095694,            0.025396,             0.94515,             0.88572,             0.94284,             0.57699,            0.027805,            0.016881,           0.0042636,            0.093696,            0.021495,            0.009493,            0.009493,            0.009493
                  83,            0.038343,            0.020278,           0.0071146,            0.095576,            0.025177,             0.92992,             0.88835,             0.93347,             0.56482,            0.027686,            0.016673,           0.0049184,             0.09231,            0.021896,           0.0094807,           0.0094807,           0.0094807
                  84,             0.03791,            0.020459,           0.0070012,             0.09561,            0.024978,             0.91601,              0.9104,             0.93879,               0.581,            0.027539,            0.016618,           0.0044212,            0.092089,            0.020971,           0.0094683,           0.0094683,           0.0094683
                  85,            0.038035,            0.020107,           0.0069384,            0.095727,            0.025272,             0.93421,             0.91488,             0.95228,             0.57554,            0.027382,            0.016672,           0.0042532,             0.09362,            0.020419,           0.0094557,           0.0094557,           0.0094557
                  86,            0.038023,            0.020126,           0.0069142,             0.09484,            0.024511,             0.90286,             0.93624,              0.9533,             0.57756,            0.027289,             0.01662,           0.0045988,            0.092684,            0.020734,            0.009443,            0.009443,            0.009443
                  87,            0.038235,             0.02014,           0.0071887,            0.094904,            0.024353,             0.93253,             0.91355,             0.95285,             0.58665,            0.027163,            0.016486,           0.0044185,            0.091839,            0.020821,           0.0094301,           0.0094301,           0.0094301
                  88,            0.038209,            0.020215,           0.0067152,            0.094503,            0.024963,             0.93423,             0.91268,             0.95207,             0.58137,            0.026945,              0.0164,            0.004512,            0.092151,            0.020792,           0.0094171,           0.0094171,           0.0094171
                  89,            0.038244,            0.020569,           0.0069225,            0.095257,            0.024888,             0.91353,             0.90035,              0.9417,             0.58257,            0.026927,            0.016523,           0.0047425,            0.092263,            0.020588,            0.009404,            0.009404,            0.009404
                  90,            0.037911,            0.020061,           0.0070329,            0.094488,            0.024852,             0.94539,             0.89466,              0.9484,             0.58339,            0.026606,            0.016477,            0.004221,            0.091837,            0.021224,           0.0093907,           0.0093907,           0.0093907
                  91,             0.03805,            0.020256,           0.0068716,            0.094382,            0.024672,             0.93412,             0.91724,              0.9483,             0.58125,            0.026679,            0.016299,           0.0038387,            0.092351,            0.021399,           0.0093773,           0.0093773,           0.0093773
                  92,            0.037428,            0.020287,           0.0066278,            0.093797,             0.02444,             0.94612,             0.90886,             0.95585,             0.58016,            0.026646,            0.016368,           0.0038997,            0.092904,            0.021241,           0.0093638,           0.0093638,           0.0093638
                  93,            0.037931,             0.02057,           0.0069685,            0.094345,            0.024494,             0.94076,             0.88634,             0.94524,             0.58406,             0.02713,            0.016564,           0.0041679,            0.093757,            0.020728,           0.0093501,           0.0093501,           0.0093501
